time,touch_count,last_touch_delay
1489258993,0,3076286
1489259009,0,3092348
1489259025,0,3108289
1489259040,0,3123911
1489259055,0,3138965
1489259071,0,3154437
1489259087,0,3170293
1489259103,0,3186354
1489259104,0,3188005
1489259105,0,3188067
1489259119,0,3202382
1489259136,0,3219325
1489259152,0,3235342
1489259168,0,3251326
1489259184,0,3267313
1489259199,0,3282353
1489259214,0,3297410
1489259229,0,3312485
1489259244,0,3327544
1489259259,0,3342610
1489259275,0,3358349
1489259292,0,3375292
1489259307,0,3390338
1489259322,0,3405391
1489259339,0,3422301
1489259354,0,3437350
1489259369,0,3452403
1489259384,0,3467993
1489259401,0,3484294
1489259417,0,3500313
1489337181,0,689669
1489337197,0,704719
1489337212,0,720608
1489337228,0,736559
1489337244,0,752652
1489337259,0,767695
1489337275,0,783588
1489337291,0,799572
1489337308,0,816604
1489337324,0,832556
1489337339,0,847599
1489337355,0,863577
1489337372,0,880582
1489337387,0,895642
1489337403,0,911635
1489337419,0,927562
1489337435,0,943591
1489337450,0,958653
1489337466,0,974604
1489337482,0,990532
1489337484,0,992244
1489337484,0,992302
1489337497,0,1005584
1489337512,0,1020630
1489337528,0,1036558
1489337543,0,1051588
1489337560,0,1068585
1489337575,0,1083603
1489337591,0,1099593
1489337607,0,1115607
1489337623,0,1131604
1489337638,0,1146672
1489337654,0,1161718
1489337669,0,1177544
1489337684,0,1192585
